NU_ANO_CENSO;NO_REGIAO;CO_UF;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Urbana;Municipal;12.4;--
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Urbana;Privada;6.3;2.9
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Urbana;Pública;22;30.8
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Rural;Total;26.6;--
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Rural;Municipal;26.6;--
2015;Norte;11;RO;1100155;Ouro Preto do Oeste;Rural;Pública;26.6;--
2015;Norte;11;RO;1100189;Pimenta Bueno;Total;Total;20.1;27.7
2015;Norte;11;RO;1100189;Pimenta Bueno;Total;Estadual;26.4;29.1
2015;Norte;11;RO;1100189;Pimenta Bueno;Total;Municipal;12.7;--
2015;Norte;11;RO;1100189;Pimenta Bueno;Total;Privada;5.5;1.3
2015;Norte;11;RO;1100189;Pimenta Bueno;Total;Pública;20.7;29.1
2015;Norte;11;RO;1100189;Pimenta Bueno;Urbana;Total;19.9;27.9
2015;Norte;11;RO;1100189;Pimenta Bueno;Urbana;Estadual;26.4;29.5
2015;Norte;11;RO;1100189;Pimenta Bueno;Urbana;Municipal;8.7;--
2015;Norte;11;RO;1100189;Pimenta Bueno;Urbana;Privada;5.5;1.3
2015;Norte;11;RO;1100189;Pimenta Bueno;Urbana;Pública;20.6;29.5
2015;Norte;11;RO;1100189;Pimenta Bueno;Rural;Total;21.6;24.5
2015;Norte;11;RO;1100189;Pimenta Bueno;Rural;Estadual;--;24.5
2015;Norte;11;RO;1100189;Pimenta Bueno;Rural;Municipal;21.6;--
2015;Norte;11;RO;1100189;Pimenta Bueno;Rural;Pública;21.6;24.5
2015;Norte;11;RO;1100205;Porto Velho;Total;Total;26.6;33.3
2015;Norte;11;RO;1100205;Porto Velho;Total;Federal;--;19.5
2015;Norte;11;RO;1100205;Porto Velho;Total;Estadual;36.2;37.8
2015;Norte;11;RO;1100205;Porto Velho;Total;Municipal;22.1;--
2015;Norte;11;RO;1100205;Porto Velho;Total;Privada;5.7;7.6
2015;Norte;11;RO;1100205;Porto Velho;Total;Pública;29.9;36.9
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Total;25.5;32.5
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Federal;--;19.5
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Estadual;36.3;37.3
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Municipal;17.9;--
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Privada;5.4;7.6
2015;Norte;11;RO;1100205;Porto Velho;Urbana;Pública;29.3;36.3
2015;Norte;11;RO;1100205;Porto Velho;Rural;Total;31.8;43.1
2015;Norte;11;RO;1100205;Porto Velho;Rural;Estadual;35.3;43.1
2015;Norte;11;RO;1100205;Porto Velho;Rural;Municipal;30.7;--
2015;Norte;11;RO;1100205;Porto Velho;Rural;Privada;21.4;--
2015;Norte;11;RO;1100205;Porto Velho;Rural;Pública;32;43.1
2015;Norte;11;RO;1100254;Presidente Médici;Total;Total;18.5;31.7
2015;Norte;11;RO;1100254;Presidente Médici;Total;Estadual;17.5;31.7
2015;Norte;11;RO;1100254;Presidente Médici;Total;Municipal;21.9;--
2015;Norte;11;RO;1100254;Presidente Médici;Total;Pública;18.5;31.7
2015;Norte;11;RO;1100254;Presidente Médici;Urbana;Total;18.9;31.3
2015;Norte;11;RO;1100254;Presidente Médici;Urbana;Estadual;18;31.3
2015;Norte;11;RO;1100254;Presidente Médici;Urbana;Municipal;24.6;--
2015;Norte;11;RO;1100254;Presidente Médici;Urbana;Pública;18.9;31.3
2015;Norte;11;RO;1100254;Presidente Médici;Rural;Total;17.2;36.1
2015;Norte;11;RO;1100254;Presidente Médici;Rural;Estadual;15;36.1
2015;Norte;11;RO;1100254;Presidente Médici;Rural;Municipal;19.5;--
2015;Norte;11;RO;1100254;Presidente Médici;Rural;Pública;17.2;36.1
2015;Norte;11;RO;1100262;Rio Crespo;Total;Total;33.5;43
2015;Norte;11;RO;1100262;Rio Crespo;Total;Estadual;36.2;43
2015;Norte;11;RO;1100262;Rio Crespo;Total;Municipal;31.1;--
2015;Norte;11;RO;1100262;Rio Crespo;Total;Pública;33.5;43
2015;Norte;11;RO;1100262;Rio Crespo;Urbana;Total;33.5;43
2015;Norte;11;RO;1100262;Rio Crespo;Urbana;Estadual;36.2;43
2015;Norte;11;RO;1100262;Rio Crespo;Urbana;Municipal;31.1;--
2015;Norte;11;RO;1100262;Rio Crespo;Urbana;Pública;33.5;43
2015;Norte;11;RO;1100288;Rolim de Moura;Total;Total;20.7;34.4
2015;Norte;11;RO;1100288;Rolim de Moura;Total;Estadual;24.1;35.4
2015;Norte;11;RO;1100288;Rolim de Moura;Total;Municipal;15.1;--
2015;Norte;11;RO;1100288;Rolim de Moura;Total;Privada;3.4;4.4
2015;Norte;11;RO;1100288;Rolim de Moura;Total;Pública;21.3;35.4
2015;Norte;11;RO;1100288;Rolim de Moura;Urbana;Total;19.7;34.4
2015;Norte;11;RO;1100288;Rolim de Moura;Urbana;Estadual;24.1;35.4
2015;Norte;11;RO;1100288;Rolim de Moura;Urbana;Municipal;7.3;--
2015;Norte;11;RO;1100288;Rolim de Moura;Urbana;Privada;3.4;4.4
