UF_CODE;CO_MUNICIPIO;TXT_FUN_TX_PROMOCAO_TOTAL;TXT_FUN_TX_REPETENCIA_TOTAL;TXT_FUN_TX_EVASAO_TOTAL;TDI_FUN_TX_DIST_IDADE_SERIE_TOTAL;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO1;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO2;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO3;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO4;AFD_FUN_ADEQ_DOC_TOTAL_GRUPO5;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_ALTA;DSU_FUN_PERC_DOC_SUPERIOR_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;TXR_FUN_TX_APROVACAO_TOTAL;TXR_FUN_TX_REPROVACAO_TOTAL;TXR_FUN_TX_ABANDONO_TOTAL;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_FUN_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;ANO;PANDEMIA_COVID;PIB_2017;PERCENTUAL_FAMILIAS_PBF_2017
26;2612000;82.2;12.3;4.0;24.0;24.2;0.6;17.2;0.5;57.5;5.6;33.2;44.7;42.1;36.8;10.5;5.3;5.3;0.0;88.6;8.7;2.7;47.9;15.7;16.7;15.7;2.0;2.0;2017;0;144528;0.22623
26;2612109;79.5;14.5;4.1;24.4;27.9;0.5;18.7;4.1;48.8;15.4;15.3;53.7;53.3;33.3;6.7;0.0;6.7;0.0;86.7;10.5;2.8;50.0;5.6;18.5;18.5;3.7;3.7;2017;0;62142;0.12841
26;2612208;88.8;7.7;2.4;16.4;45.5;0.2;29.8;1.9;22.6;13.0;5.6;79.0;12.7;34.5;27.3;14.5;7.3;3.7;92.4;7.1;0.5;26.0;23.9;20.9;26.7;2.3;0.2;2017;0;792338;0.11821
26;2612307;80.0;14.7;3.8;29.7;24.4;0.0;11.4;17.0;47.2;11.1;11.1;54.8;39.3;28.6;0.0;7.1;17.9;7.1;89.8;6.9;3.3;39.1;24.1;15.0;13.5;6.0;2.3;2017;0;143490;0.19539
26;2612406;77.2;16.1;4.5;27.3;25.4;0.2;37.1;5.1;32.2;0.0;28.5;70.3;42.9;17.9;7.1;10.7;14.3;7.1;87.5;8.3;4.2;29.9;12.7;16.6;29.3;4.5;7.0;2017;0;193910;0.13222
26;2612455;76.2;18.4;2.4;24.4;46.7;0.0;22.5;0.0;30.8;0.0;11.8;68.8;26.3;26.3;5.3;26.3;15.8;0.0;85.7;12.3;2.0;36.7;20.8;9.4;25.5;3.8;3.8;2017;0;100486;0.15301
26;2612471;87.9;9.7;1.6;20.5;33.8;0.0;29.5;1.3;35.4;8.3;25.0;68.6;46.2;15.4;23.1;0.0;15.3;0.0;87.1;9.6;3.3;30.7;29.4;17.6;10.6;8.2;3.5;2017;0;83542;0.14567
26;2612505;85.8;9.8;2.9;21.1;35.3;0.7;14.9;2.2;46.9;6.4;8.5;57.7;13.0;31.5;24.1;18.5;7.4;5.5;90.9;8.5;0.6;15.4;23.8;21.0;25.0;9.6;5.2;2017;0;1428003;0.10367
26;2612554;86.3;10.1;3.0;23.3;35.5;0.0;36.7;2.7;25.1;25.0;20.0;76.3;40.0;20.0;35.0;5.0;0.0;0.0;87.4;9.4;3.2;25.4;28.1;22.8;21.1;2.6;0.0;2017;0;91193;0.19157
26;2612604;77.3;17.6;2.7;27.2;41.7;0.3;31.7;0.9;25.4;1.7;19.0;74.3;11.5;44.3;18.0;4.9;14.8;6.5;82.4;13.8;3.8;19.8;12.4;24.5;28.0;12.1;3.2;2017;0;516363;0.21192
26;2612703;81.2;11.9;5.7;24.4;40.4;2.9;31.1;3.7;21.9;3.4;41.5;77.3;72.4;24.1;0.0;0.0;0.0;3.5;84.5;11.7;3.8;46.9;17.7;12.5;17.7;5.2;0.0;2017;0;101705;0.18997
26;2612802;89.1;8.3;1.9;18.8;38.1;0.0;44.8;4.2;12.9;27.8;5.6;87.3;66.7;16.7;5.6;5.6;0.0;5.4;90.8;7.8;1.4;30.9;25.6;20.5;12.8;6.4;3.8;2017;0;81836;0.15587
26;2612901;75.9;14.9;4.7;30.8;22.6;1.3;21.0;0.0;55.1;37.5;8.3;47.5;61.5;19.2;7.7;3.8;3.8;4.0;86.0;9.7;4.3;53.8;15.4;8.8;19.8;2.2;0.0;2017;0;96157;0.12721
26;2613008;86.3;7.7;3.1;20.7;32.4;1.0;32.9;3.4;30.3;18.0;10.0;70.9;42.1;29.8;10.5;1.8;8.8;7.0;92.2;7.6;0.2;32.8;16.8;14.7;29.8;3.2;2.7;2017;0;953021;0.12228
26;2613107;83.1;12.0;3.6;21.6;29.8;0.1;22.8;3.4;43.9;9.1;22.7;58.7;29.8;27.7;17.0;8.5;4.3;12.7;92.8;6.9;0.3;24.6;25.5;16.1;28.5;3.4;1.9;2017;0;350467;0.11822
