CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021
2403608;247013;263242;306875;355123;387253;416801;501321;545180;570425
2403707;120935;111136;83963;67376;76307;97009;101376;99821;173827
2403756;22658;23042;24413;26017;31964;31578;34642;36890;39070
2403806;63314;73850;82181;82183;81113;94051;99265;109556;120493
2403905;25161;25909;23178;23302;24793;25336;28957;30370;32759
2404002;28935;29949;34608;30293;35349;37676;40626;41794;44912
2404101;55630;51501;65383;66016;68345;75144;105461;89543;162617
2404200;233762;262185;295877;311906;358844;438891;467568;516576;546576
2404309;266776;271389;202166;147879;205510;217477;250899;238192;386262
2404408;155172;138403;130515;111178;131996;158661;171513;145273;158310
2404507;4199;260612;1241923;1875112;1624965;1388429;1686496;1727729;2042144
2404606;83075;92411;93899;96307;103448;108939;119445;127475;140721
2404705;112535;120512;121487;136220;133261;141537;156493;167528;196501
2404804;17996;20157;21812;22999;25977;26490;28680;30017;34930
2404853;57079;64015;65893;66120;84251;73427;80039;81375;99445
2404903;45782;43690;44304;46220;48106;66145;69941;72938;73782
2405009;53300;52797;56753;55997;60725;66799;73641;77730;86390
2405108;44740;47821;62240;190240;74772;67441;71180;74634;101431
2405207;42985;45083;53121;55277;60901;65881;86138;86654;84499
2405306;50788;55684;58493;62108;65985;70200;78747;82936;84900
2405405;31836;31413;34819;36935;39533;40970;44898;46560;51548
2405504;20292;19958;23705;22853;25461;27659;29609;56197;64392
2405603;136791;143574;146670;119487;128335;147624;177065;184222;213316
2405702;110555;117725;129906;140110;154907;165807;180305;188404;207993
2405801;479389;528025;820754;981329;1046611;928654;930423;1091593;1269841
2405900;16813;18419;19221;18853;20934;21749;24159;26179;27991
2406007;36408;41419;44906;43519;48808;54898;59111;61589;67415
2406106;132980;162824;176071;185768;214336;237927;257374;339892;315841
2406155;23018;25119;27245;28485;32885;33359;37134;39005;42148
2406205;39106;40492;46597;48441;50504;60671;64893;68910;70839
2406304;44019;46571;53196;54243;58249;65805;69688;75055;81382
2406403;24326;23942;30189;29705;31108;32570;36237;36703;38242
2406502;147386;153865;130345;141617;262202;277064;224623;245743;269036
2406601;58307;48420;57264;58352;66345;74833;81739;88211;94313
2406700;93298;94236;100467;108299;120433;128108;136824;139741;165930
2406809;31074;34571;37450;39639;41041;41695;46566;49439;51595
2406908;32650;34551;40527;35215;41757;51989;53160;53078;51510
2407005;56978;61292;62998;63155;68792;73669;80566;84731;87827
2407104;1389129;1355845;1454040;1365318;1479503;1651683;1831544;1700063;1828152
2407203;961749;922011;791519;544353;593501;726355;770547;689600;1111123
2407252;22361;31073;33035;31408;34828;37176;40660;43337;48004
2407302;50471;53371;58609;59265;62169;68752;74778;77832;82890
2407401;56771;62352;67913;73978;81840;89712;97546;98323;108195
2407500;81277;87939;97872;102851;109024;119604;124979;133773;134894
2407609;56734;65286;65679;62647;76814;56230;59270;55808;55530
2407708;66715;71478;80179;83206;88586;101487;113364;123406;130284
2407807;150232;162869;179894;191985;208380;228137;242830;248770;271456
2407906;17856;19700;19369;18787;21960;25310;26195;28497;32367
