CO_MUNICIPIO;PIB_2013;PIB_2014;PIB_2015;PIB_2016;PIB_2017;PIB_2018;PIB_2019;PIB_2020;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2013;PERCENTUAL_FAMILIAS_PBF_2014;PERCENTUAL_FAMILIAS_PBF_2015;PERCENTUAL_FAMILIAS_PBF_2016;PERCENTUAL_FAMILIAS_PBF_2017;PERCENTUAL_FAMILIAS_PBF_2018;PERCENTUAL_FAMILIAS_PBF_2019;PERCENTUAL_FAMILIAS_PBF_2020;PERCENTUAL_FAMILIAS_PBF_2021
3110103;35873;46090;52922;59218;59334;61253;60844;113198;88656;0.07757;0.07724;0.08386;0.08188;0.07518;0.07578;0.07314;0.07887;0.07951
3110202;47385;52250;52637;63983;68113;69991;72087;93434;97321;0.1081;0.09569;0.10119;0.09893;0.0964;0.0917;0.08001;0.09235;0.10755
3110301;184602;197573;203384;227527;228369;237037;258470;268351;337663;0.04561;0.04091;0.04133;0.03678;0.03483;0.0369;0.03481;0.04278;0.04788
3110400;28701;27623;38432;47506;40500;39588;38536;48525;70874;0.0741;0.05586;0.04986;0.04731;0.04178;0.04465;0.03792;0.04217;0.04579
3110509;418748;473849;475289;528016;605826;562694;727154;745116;990373;0.04789;0.04493;0.04309;0.04798;0.0408;0.04453;0.04327;0.05183;0.05268
3110608;587655;751950;866574;1001320;1347936;1157228;1562750;1820486;1865719;0.02244;0.02313;0.0264;0.02724;0.02788;0.03047;0.02755;0.03381;0.03239
3110707;188153;229100;225272;293543;224523;236221;276889;325098;370862;0.05547;0.0478;0.05213;0.04977;0.05079;0.05587;0.05736;0.07134;0.06971
3110806;36676;38142;37152;39442;38748;41094;44374;48808;53464;0.11441;0.1293;0.10956;0.098;0.11419;0.16114;0.16017;0.15576;0.15485
3110905;223975;287810;301760;322396;303940;315960;334184;378419;439877;0.04915;0.04894;0.05051;0.04658;0.0519;0.04534;0.04206;0.04635;0.04497
3111002;241193;274541;306214;340527;351420;330006;323746;416813;486392;0.05173;0.04572;0.04104;0.0311;0.02407;0.02261;0.01829;0.02261;0.02518
3111101;430498;472749;510279;543298;508571;514416;474901;464443;536834;0.06774;0.07348;0.06733;0.05745;0.05832;0.0537;0.04371;0.04703;0.04848
3111150;26717;28900;30728;33701;32963;33540;34818;38715;40662;0.15755;0.17432;0.15977;0.16091;0.19286;0.20682;0.20461;0.19927;0.19843
3111200;782824;827949;854068;936136;983901;1030107;1042910;1118549;1244647;0.05174;0.05058;0.0528;0.04544;0.04021;0.03865;0.03474;0.03874;0.04595
3111309;101651;115144;135399;153920;171879;170838;156704;182929;231132;0.06931;0.07413;0.07296;0.06969;0.06811;0.06974;0.06323;0.06815;0.06739
3111408;279416;331468;343743;401824;505337;504478;487435;653859;710907;0.06085;0.06136;0.04821;0.0469;0.06594;0.07809;0.07165;0.06869;0.06764
3111507;218150;255504;269582;348390;324597;311519;292786;371330;434286;0.05313;0.0512;0.04425;0.04016;0.05056;0.04858;0.04249;0.04164;0.03965
