NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_MEDIA_TOTAL_ALUNOS_SALA;FUN_MEDIA_TOTAL_ALUNOS_SALA;MED_MEDIA_TOTAL_ALUNOS_SALA
2018;Norte;RO;1100114;Jaru;Total;Pública;5.1;4.3;4.8
2018;Norte;RO;1100114;Jaru;Urbana;Pública;5.1;4.3;4.9
2018;Norte;RO;1100114;Jaru;Rural;Pública;5;4.2;4.5
2018;Norte;RO;1100122;Ji-Paraná;Total;Total;4.2;4.1;4.7
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Total;4.2;4.1;4.5
2018;Norte;RO;1100122;Ji-Paraná;Rural;Total;4.8;4.4;7.6
2018;Norte;RO;1100122;Ji-Paraná;Total;Federal;;;4.4
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Federal;;;4.4
2018;Norte;RO;1100122;Ji-Paraná;Total;Estadual;;4;4.5
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Estadual;;4;4.5
2018;Norte;RO;1100122;Ji-Paraná;Rural;Estadual;;4.2;3.1
2018;Norte;RO;1100122;Ji-Paraná;Total;Municipal;4.1;4.4;
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Municipal;4.1;4.3;
2018;Norte;RO;1100122;Ji-Paraná;Rural;Municipal;4.8;4.4;
2018;Norte;RO;1100122;Ji-Paraná;Total;Privada;4.6;4.3;6.6
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Privada;4.6;4.3;5
2018;Norte;RO;1100122;Ji-Paraná;Rural;Privada;;;8.5
2018;Norte;RO;1100122;Ji-Paraná;Total;Pública;4.1;4.1;4.5
2018;Norte;RO;1100122;Ji-Paraná;Urbana;Pública;4.1;4.1;4.5
2018;Norte;RO;1100122;Ji-Paraná;Rural;Pública;4.8;4.4;3.1
2018;Norte;RO;1100130;Machadinho D'Oeste;Total;Total;4;4.1;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Total;4;4;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Rural;Total;4.1;4.1;4
2018;Norte;RO;1100130;Machadinho D'Oeste;Total;Estadual;;4;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Estadual;;4;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Rural;Estadual;;4;4
2018;Norte;RO;1100130;Machadinho D'Oeste;Total;Municipal;4;4.1;
2018;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Municipal;4;4;
2018;Norte;RO;1100130;Machadinho D'Oeste;Rural;Municipal;4.1;4.1;
2018;Norte;RO;1100130;Machadinho D'Oeste;Total;Privada;4;4.5;4.6
2018;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Privada;4;4.5;4.6
2018;Norte;RO;1100130;Machadinho D'Oeste;Total;Pública;4;4;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Urbana;Pública;4;4;3.9
2018;Norte;RO;1100130;Machadinho D'Oeste;Rural;Pública;4.1;4.1;4
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Total;4.1;4.2;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Total;4;4.2;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Total;4.3;4.3;
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Estadual;;4.3;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Estadual;;4.3;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Municipal;4.1;4.2;
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Municipal;4;4.2;
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Municipal;4.3;4.3;
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Total;Pública;4.1;4.2;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Urbana;Pública;4;4.2;4.3
2018;Norte;RO;1100148;Nova Brasilândia D'Oeste;Rural;Pública;4.3;4.3;
2018;Norte;RO;1100155;Ouro Preto do Oeste;Total;Total;4.8;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Total;4.8;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Total;4;4;
2018;Norte;RO;1100155;Ouro Preto do Oeste;Total;Estadual;;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Estadual;;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Total;Municipal;4.8;4;
2018;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Municipal;4.8;4.1;
2018;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Municipal;4;4;
2018;Norte;RO;1100155;Ouro Preto do Oeste;Total;Privada;4.4;4.5;4.5
2018;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Privada;4.4;4.5;4.5
2018;Norte;RO;1100155;Ouro Preto do Oeste;Total;Pública;4.8;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Urbana;Pública;4.8;4.1;4.1
2018;Norte;RO;1100155;Ouro Preto do Oeste;Rural;Pública;4;4;
2018;Norte;RO;1100189;Pimenta Bueno;Total;Total;4.5;4.3;6.3
2018;Norte;RO;1100189;Pimenta Bueno;Urbana;Total;4.5;4.3;5.4
2018;Norte;RO;1100189;Pimenta Bueno;Rural;Total;4.1;4.3;10.3
2018;Norte;RO;1100189;Pimenta Bueno;Total;Estadual;;4.5;6.3
2018;Norte;RO;1100189;Pimenta Bueno;Urbana;Estadual;;4.5;5.4
2018;Norte;RO;1100189;Pimenta Bueno;Rural;Estadual;;;10.3
2018;Norte;RO;1100189;Pimenta Bueno;Total;Municipal;4.5;4.1;
2018;Norte;RO;1100189;Pimenta Bueno;Urbana;Municipal;4.5;4;
2018;Norte;RO;1100189;Pimenta Bueno;Rural;Municipal;4.1;4.3;
2018;Norte;RO;1100189;Pimenta Bueno;Total;Privada;4;4.1;5.2
2018;Norte;RO;1100189;Pimenta Bueno;Urbana;Privada;4;4.1;5.2
2018;Norte;RO;1100189;Pimenta Bueno;Total;Pública;4.5;4.3;6.3
2018;Norte;RO;1100189;Pimenta Bueno;Urbana;Pública;4.5;4.3;5.4
2018;Norte;RO;1100189;Pimenta Bueno;Rural;Pública;4.1;4.3;10.3
2018;Norte;RO;1100205;Porto Velho;Total;Total;4.2;4.4;4.5
2018;Norte;RO;1100205;Porto Velho;Urbana;Total;4.2;4.4;4.5
2018;Norte;RO;1100205;Porto Velho;Rural;Total;4.3;4.3;4.1
2018;Norte;RO;1100205;Porto Velho;Total;Federal;;;4.4
2018;Norte;RO;1100205;Porto Velho;Urbana;Federal;;;4.4
2018;Norte;RO;1100205;Porto Velho;Total;Estadual;4.3;4.5;4.3
2018;Norte;RO;1100205;Porto Velho;Urbana;Estadual;4.3;4.5;4.4
2018;Norte;RO;1100205;Porto Velho;Rural;Estadual;;4.1;4.1
2018;Norte;RO;1100205;Porto Velho;Total;Municipal;4.1;4.2;
2018;Norte;RO;1100205;Porto Velho;Urbana;Municipal;4.1;4.1;
2018;Norte;RO;1100205;Porto Velho;Rural;Municipal;4.3;4.2;
2018;Norte;RO;1100205;Porto Velho;Total;Privada;4.5;4.5;5.4
2018;Norte;RO;1100205;Porto Velho;Urbana;Privada;4.5;4.5;5.4
2018;Norte;RO;1100205;Porto Velho;Rural;Privada;4.2;4.8;
2018;Norte;RO;1100205;Porto Velho;Total;Pública;4.1;4.3;4.3
2018;Norte;RO;1100205;Porto Velho;Urbana;Pública;4.1;4.3;4.4
2018;Norte;RO;1100205;Porto Velho;Rural;Pública;4.3;4.2;4.1
2018;Norte;RO;1100254;Presidente Médici;Total;Total;4.5;4.1;4.3
2018;Norte;RO;1100254;Presidente Médici;Urbana;Total;4.5;4;4.3
2018;Norte;RO;1100254;Presidente Médici;Rural;Total;4.3;4.1;4
2018;Norte;RO;1100254;Presidente Médici;Total;Estadual;;4;4.3
2018;Norte;RO;1100254;Presidente Médici;Urbana;Estadual;;4;4.3
2018;Norte;RO;1100254;Presidente Médici;Rural;Estadual;;4;4
2018;Norte;RO;1100254;Presidente Médici;Total;Municipal;4.5;4.1;
2018;Norte;RO;1100254;Presidente Médici;Urbana;Municipal;4.5;4.1;
2018;Norte;RO;1100254;Presidente Médici;Rural;Municipal;4.3;4.3;
2018;Norte;RO;1100254;Presidente Médici;Total;Pública;4.5;4.1;4.3
2018;Norte;RO;1100254;Presidente Médici;Urbana;Pública;4.5;4;4.3
2018;Norte;RO;1100254;Presidente Médici;Rural;Pública;4.3;4.1;4
2018;Norte;RO;1100262;Rio Crespo;Total;Total;4;4;4
2018;Norte;RO;1100262;Rio Crespo;Urbana;Total;4;4;4
2018;Norte;RO;1100262;Rio Crespo;Total;Estadual;;4;4
2018;Norte;RO;1100262;Rio Crespo;Urbana;Estadual;;4;4
2018;Norte;RO;1100262;Rio Crespo;Total;Municipal;4;4;
2018;Norte;RO;1100262;Rio Crespo;Urbana;Municipal;4;4;
2018;Norte;RO;1100262;Rio Crespo;Total;Pública;4;4;4
2018;Norte;RO;1100262;Rio Crespo;Urbana;Pública;4;4;4
2018;Norte;RO;1100288;Rolim de Moura;Total;Total;4.3;4.2;4.9
2018;Norte;RO;1100288;Rolim de Moura;Urbana;Total;4.3;4.2;4.9
2018;Norte;RO;1100288;Rolim de Moura;Rural;Total;4;4;
2018;Norte;RO;1100288;Rolim de Moura;Total;Estadual;;4.3;4.9
2018;Norte;RO;1100288;Rolim de Moura;Urbana;Estadual;;4.3;4.9
2018;Norte;RO;1100288;Rolim de Moura;Total;Municipal;4.3;4.1;
2018;Norte;RO;1100288;Rolim de Moura;Urbana;Municipal;4.3;4.1;
2018;Norte;RO;1100288;Rolim de Moura;Rural;Municipal;4;4;
2018;Norte;RO;1100288;Rolim de Moura;Total;Privada;4.5;4.4;5.3
2018;Norte;RO;1100288;Rolim de Moura;Urbana;Privada;4.5;4.4;5.3
2018;Norte;RO;1100288;Rolim de Moura;Total;Pública;4.3;4.2;4.9
2018;Norte;RO;1100288;Rolim de Moura;Urbana;Pública;4.3;4.2;4.9
2018;Norte;RO;1100288;Rolim de Moura;Rural;Pública;4;4;
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Total;5.4;4.1;4.8
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Total;5.4;4.1;4.8
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Estadual;;4.3;4.8
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Estadual;;4.3;4.8
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Municipal;5.4;4;
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Municipal;5.4;4;
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Total;Pública;5.4;4.1;4.8
2018;Norte;RO;1100296;Santa Luzia D'Oeste;Urbana;Pública;5.4;4.1;4.8
2018;Norte;RO;1100304;Vilhena;Total;Total;4.1;4.4;4.4
2018;Norte;RO;1100304;Vilhena;Urbana;Total;4;4.4;4.4
2018;Norte;RO;1100304;Vilhena;Rural;Total;4.8;4.9;4.3
2018;Norte;RO;1100304;Vilhena;Total;Federal;;;4.5
2018;Norte;RO;1100304;Vilhena;Urbana;Federal;;;4.5
2018;Norte;RO;1100304;Vilhena;Total;Estadual;;4.5;4.3
2018;Norte;RO;1100304;Vilhena;Urbana;Estadual;;4.5;4.3
2018;Norte;RO;1100304;Vilhena;Rural;Estadual;;;4.3
2018;Norte;RO;1100304;Vilhena;Total;Municipal;4.1;4.3;
2018;Norte;RO;1100304;Vilhena;Urbana;Municipal;4;4.3;
2018;Norte;RO;1100304;Vilhena;Rural;Municipal;4.8;4.9;
2018;Norte;RO;1100304;Vilhena;Total;Privada;4.2;4.5;5.5
2018;Norte;RO;1100304;Vilhena;Urbana;Privada;4.2;4.5;5.5
2018;Norte;RO;1100304;Vilhena;Total;Pública;4.1;4.4;4.4
2018;Norte;RO;1100304;Vilhena;Urbana;Pública;4;4.4;4.4
2018;Norte;RO;1100304;Vilhena;Rural;Pública;4.8;4.9;4.3
2018;Norte;RO;1100320;São Miguel do Guaporé;Total;Total;4.1;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Total;4.1;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Rural;Total;4;4;
2018;Norte;RO;1100320;São Miguel do Guaporé;Total;Estadual;;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Estadual;;4;4
2018;Norte;RO;1100320;São Miguel do Guaporé;Total;Municipal;4.1;4;
2018;Norte;RO;1100320;São Miguel do Guaporé;Urbana;Municipal;4.1;4;
