NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;1_CAT_FUN;1_CAT_MED;2_CAT_FUN;2_CAT_MED;3_CAT_FUN;3_CAT_MED
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;98,2;--;1,8;--;0,0;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;98,2;--;1,8;--;0,0;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;99,1;99,0;0,9;0,0;0,0;1,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;99,1;99,0;0,9;0,0;0,0;1,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;99,7;100,0;0,0;0,0;0,3;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;99,7;100,0;0,0;0,0;0,3;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;99,5;100,0;0,0;0,0;0,5;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;99,5;100,0;0,0;0,0;0,5;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;99,7;100,0;0,0;0,0;0,3;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;99,7;100,0;0,0;0,0;0,3;0,0
2021;Sudeste;SP;3501608;Americana;Total;Total;99,2;93,6;0,7;4,2;0,1;2,2
2021;Sudeste;SP;3501608;Americana;Urbana;Total;99,2;93,6;0,7;4,2;0,1;2,2
2021;Sudeste;SP;3501608;Americana;Total;Estadual;98,6;91,8;1,0;5,3;0,4;2,9
2021;Sudeste;SP;3501608;Americana;Urbana;Estadual;98,6;91,8;1,0;5,3;0,4;2,9
2021;Sudeste;SP;3501608;Americana;Total;Municipal;99,5;--;0,5;--;0,0;--
2021;Sudeste;SP;3501608;Americana;Urbana;Municipal;99,5;--;0,5;--;0,0;--
2021;Sudeste;SP;3501608;Americana;Total;Privada;99,5;99,5;0,5;0,5;0,0;0,0
2021;Sudeste;SP;3501608;Americana;Urbana;Privada;99,5;99,5;0,5;0,5;0,0;0,0
2021;Sudeste;SP;3501608;Americana;Total;Pública;99,0;91,8;0,7;5,3;0,3;2,9
2021;Sudeste;SP;3501608;Americana;Urbana;Pública;99,0;91,8;0,7;5,3;0,3;2,9
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;99,8;98,9;0,1;0,1;0,1;1,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;99,8;98,9;0,1;0,1;0,1;1,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;99,4;98,8;0,2;0,1;0,4;1,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;99,4;98,8;0,2;0,1;0,4;1,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;99,1;100,0;0,9;0,0;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;99,1;100,0;0,9;0,0;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;99,9;98,8;0,0;0,1;0,1;1,1
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;99,9;98,8;0,0;0,1;0,1;1,1
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;100,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;99,8;100,0;0,2;0,0;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Total;99,5;96,9;0,3;2,4;0,2;0,7
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;99,6;97,0;0,3;2,6;0,1;0,4
2021;Sudeste;SP;3501905;Amparo;Rural;Total;98,8;95,3;0,5;0,0;0,7;4,7
2021;Sudeste;SP;3501905;Amparo;Total;Estadual;99,3;96,5;0,4;2,8;0,3;0,7
2021;Sudeste;SP;3501905;Amparo;Urbana;Estadual;99,4;96,6;0,4;3,0;0,2;0,4
2021;Sudeste;SP;3501905;Amparo;Rural;Estadual;98,3;95,3;0,7;0,0;1,0;4,7
2021;Sudeste;SP;3501905;Amparo;Total;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501905;Amparo;Urbana;Municipal;99,9;--;0,1;--;0,0;--
2021;Sudeste;SP;3501905;Amparo;Rural;Municipal;100,0;--;0,0;--;0,0;--
2021;Sudeste;SP;3501905;Amparo;Total;Privada;99,4;99,5;0,6;0,5;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Privada;99,4;99,5;0,6;0,5;0,0;0,0
2021;Sudeste;SP;3501905;Amparo;Total;Pública;99,5;96,5;0,3;2,8;0,2;0,7
2021;Sudeste;SP;3501905;Amparo;Urbana;Pública;99,6;96,6;0,3;3,0;0,1;0,4
2021;Sudeste;SP;3501905;Amparo;Rural;Pública;98,8;95,3;0,5;0,0;0,7;4,7
2021;Sudeste;SP;3502002;Analândia;Total;Total;97,3;100,0;0,5;0,0;2,2;0,0
