NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;EDU_BAS_CAT_5;EDU_BAS_CAT_6
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;0,0;80,0;0,0;20,0;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Municipal;50,0;50,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;33,3;33,3;0,0;33,4;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Total;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Total;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Total;Pública;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3500907;Altair;Urbana;Pública;25,0;75,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Total;50,0;14,3;7,1;21,4;0,0;7,2
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Total;46,2;15,4;7,7;23,1;0,0;7,6
2021;Sudeste;SP;3501004;Altinópolis;Rural;Total;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Estadual;0,0;0,0;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Estadual;0,0;0,0;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Municipal;70,0;10,0;10,0;10,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Municipal;66,7;11,1;11,1;11,1;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Municipal;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Privada;0,0;33,3;0,0;66,7;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Privada;0,0;33,3;0,0;66,7;0,0;0,0
2021;Sudeste;SP;3501004;Altinópolis;Total;Pública;63,6;9,1;9,1;9,1;0,0;9,1
2021;Sudeste;SP;3501004;Altinópolis;Urbana;Pública;60,0;10,0;10,0;10,0;0,0;10,0
2021;Sudeste;SP;3501004;Altinópolis;Rural;Pública;100,0;0,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Total;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Total;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Estadual;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Municipal;33,3;66,7;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Total;Pública;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501103;Alto Alegre;Urbana;Pública;25,0;50,0;0,0;25,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Total;13,3;46,7;13,3;13,3;13,4;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Total;14,3;42,9;14,3;14,3;14,2;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Total;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Estadual;0,0;0,0;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Estadual;0,0;0,0;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Municipal;16,7;58,3;16,7;0,0;8,3;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Municipal;18,2;54,5;18,2;0,0;9,1;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Municipal;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Privada;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Privada;0,0;0,0;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501152;Alumínio;Total;Pública;15,4;53,8;15,4;0,0;15,4;0,0
2021;Sudeste;SP;3501152;Alumínio;Urbana;Pública;16,7;50,0;16,7;0,0;16,6;0,0
2021;Sudeste;SP;3501152;Alumínio;Rural;Pública;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Total;25,0;50,0;25,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Total;25,0;50,0;25,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Estadual;0,0;100,0;0,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Municipal;33,3;33,3;33,4;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;33,3;33,3;33,4;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;25,0;50,0;25,0;0,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;25,0;50,0;25,0;0,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;5,3;47,4;31,6;15,7;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;5,3;47,4;31,6;15,7;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;0,0;50,0;0,0;50,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;0,0;50,0;0,0;50,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;8,3;50,0;33,3;8,4;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;8,3;50,0;33,3;8,4;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;0,0;40,0;40,0;20,0;0,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;0,0;40,0;40,0;20,0;0,0;0,0
