NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_TX_DIST_IDADE_SERIE_TOTAL;MED_TX_DIST_IDADE_SERIE_TOTAL
2021;Norte;RO;1100205;Porto Velho;Rural;Pública;22;39.6
2021;Norte;RO;1100254;Presidente Médici;Total;Total;8.2;15.4
2021;Norte;RO;1100254;Presidente Médici;Urbana;Total;8.5;15.3
2021;Norte;RO;1100254;Presidente Médici;Rural;Total;5;19.4
2021;Norte;RO;1100254;Presidente Médici;Total;Estadual;10.3;15.4
2021;Norte;RO;1100254;Presidente Médici;Urbana;Estadual;10.7;15.3
2021;Norte;RO;1100254;Presidente Médici;Rural;Estadual;2.5;19.4
2021;Norte;RO;1100254;Presidente Médici;Total;Municipal;4.8;--
2021;Norte;RO;1100254;Presidente Médici;Urbana;Municipal;4.5;--
2021;Norte;RO;1100254;Presidente Médici;Rural;Municipal;6;--
2021;Norte;RO;1100254;Presidente Médici;Total;Pública;8.2;15.4
2021;Norte;RO;1100254;Presidente Médici;Urbana;Pública;8.5;15.3
2021;Norte;RO;1100254;Presidente Médici;Rural;Pública;5;19.4
2021;Norte;RO;1100262;Rio Crespo;Total;Total;19.1;36.8
2021;Norte;RO;1100262;Rio Crespo;Urbana;Total;19.1;36.8
2021;Norte;RO;1100262;Rio Crespo;Total;Estadual;23.4;36.8
2021;Norte;RO;1100262;Rio Crespo;Urbana;Estadual;23.4;36.8
2021;Norte;RO;1100262;Rio Crespo;Total;Municipal;17.2;--
2021;Norte;RO;1100262;Rio Crespo;Urbana;Municipal;17.2;--
2021;Norte;RO;1100262;Rio Crespo;Total;Pública;19.1;36.8
2021;Norte;RO;1100262;Rio Crespo;Urbana;Pública;19.1;36.8
2021;Norte;RO;1100288;Rolim de Moura;Total;Total;8.1;18.7
2021;Norte;RO;1100288;Rolim de Moura;Urbana;Total;7.6;18.7
2021;Norte;RO;1100288;Rolim de Moura;Rural;Total;12.6;--
