NU_ANO_CENSO;CO_UF;SG_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;TP_TIPO_REDE;TP_LOCALIZACAO;TP_CAPITAL;QTD_ALUNOS_INSE;MEDIA_INSE;PC_NIVEL_1;PC_NIVEL_2;PC_NIVEL_3;PC_NIVEL_4;PC_NIVEL_5;PC_NIVEL_6;PC_NIVEL_7;PC_NIVEL_8
2021;35;SP;São Paulo;3500709;Agudos;3;1;2;416;5,26;0,23;7,01;9,51;20,27;24,56;19,42;16,37;2,64
2021;35;SP;São Paulo;3500709;Agudos;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;5;0;2;1026;5,31;0,3;4,63;9,53;20,1;25,12;21,62;16,53;2,17
2021;35;SP;São Paulo;3500709;Agudos;5;1;2;1026;5,31;0,3;4,63;9,53;20,1;25,12;21,62;16,53;2,17
2021;35;SP;São Paulo;3500709;Agudos;5;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500709;Agudos;6;0;2;1026;5,31;0,3;4,63;9,53;20,1;25,12;21,62;16,53;2,17
2021;35;SP;São Paulo;3500709;Agudos;6;1;2;1026;5,31;0,3;4,63;9,53;20,1;25,12;21,62;16,53;2,17
2021;35;SP;São Paulo;3500709;Agudos;6;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500758;Alambari;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500758;Alambari;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500758;Alambari;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500758;Alambari;2;0;2;116;5,19;0;3,92;13,97;21,31;26,13;24,4;10,27;0
2021;35;SP;São Paulo;3500758;Alambari;2;1;2;116;5,19;0;3,92;13,97;21,31;26,13;24,4;10,27;0
2021;35;SP;São Paulo;3500758;Alambari;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500758;Alambari;3;0;2;67;5,28;0;2,46;12,37;22,6;25,06;16,97;18,47;2,06
2021;35;SP;São Paulo;3500758;Alambari;3;1;2;52;5,3;0;1,39;12,13;19,88;29,73;17,89;16,39;2,58
2021;35;SP;São Paulo;3500758;Alambari;3;2;2;15;5,18;0;6,67;13,33;33,33;6,67;13,33;26,67;0
2021;35;SP;São Paulo;3500758;Alambari;5;0;2;183;5,22;0;3,44;13,45;21,74;25,78;21,95;12,97;0,68
2021;35;SP;São Paulo;3500758;Alambari;5;1;2;168;5,22;0;3,21;13,45;20,91;27,14;22,57;11,99;0,73
2021;35;SP;São Paulo;3500758;Alambari;5;2;2;15;5,18;0;6,67;13,33;33,33;6,67;13,33;26,67;0
2021;35;SP;São Paulo;3500758;Alambari;6;0;2;183;5,22;0;3,44;13,45;21,74;25,78;21,95;12,97;0,68
2021;35;SP;São Paulo;3500758;Alambari;6;1;2;168;5,22;0;3,21;13,45;20,91;27,14;22,57;11,99;0,73
2021;35;SP;São Paulo;3500758;Alambari;6;2;2;15;5,18;0;6,67;13,33;33,33;6,67;13,33;26,67;0
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;1;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;1;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;1;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;2;0;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;2;1;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;2;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;3;0;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;3;1;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;3;2;2;0;0;;;;;;;;
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;5;0;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;5;1;2;127;5,5;0;1,65;8,58;13,4;24,6;26,22;23,26;2,29
2021;35;SP;São Paulo;3500808;Alfredo Marcondes;5;2;2;0;0;;;;;;;;
