NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_0;FUN_AI_CAT_0;FUN_AF_CAT_0;FUN_01_CAT_0;FUN_02_CAT_0;FUN_03_CAT_0;FUN_04_CAT_0;FUN_05_CAT_0;FUN_06_CAT_0;FUN_07_CAT_0;FUN_08_CAT_0;FUN_09_CAT_0;MED_CAT_0;MED_01_CAT_0;MED_02_CAT_0;MED_03_CAT_0;MED_04_CAT_0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;2,4;2,4;--;0,0;0,0;2,0;4,9;3,4;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;3,7;2,4;5,4;0,0;0,0;2,0;4,9;3,4;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Pública;3,7;2,4;5,4;0,0;0,0;2,0;4,9;3,4;4,6;4,9;7,6;4,2;7,1;5,5;11,1;5,4;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;5,8;3,9;8,2;0,0;0,0;6,1;5,8;5,0;8,1;0,0;15,1;9,7;15,0;18,2;8,6;17,1;--
2021;Sudeste;SP;3500709;Agudos;Total;Total;6,0;2,5;10,4;1,2;0,0;0,9;3,7;6,3;8,1;9,3;10,9;13,2;12,2;12,7;15,4;7,6;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;6,0;2,5;10,4;1,2;0,0;0,9;3,7;6,3;8,1;9,3;10,9;13,2;12,2;12,7;15,4;7,6;--
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;12,0;--;12,0;--;--;--;--;--;9,5;11,3;12,7;14,2;13,9;14,5;17,6;8,6;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;12,0;--;12,0;--;--;--;--;--;9,5;11,3;12,7;14,2;13,9;14,5;17,6;8,6;--
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;2,7;2,7;--;1,2;0,0;1,1;3,7;7,1;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;2,7;2,7;--;1,2;0,0;1,1;3,7;7,1;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Privada;3,0;1,4;4,5;1,2;0,0;0,0;4,0;2,2;2,7;2,4;4,1;9,2;3,5;2,9;4,9;1,9;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;3,0;1,4;4,5;1,2;0,0;0,0;4,0;2,2;2,7;2,4;4,1;9,2;3,5;2,9;4,9;1,9;--
2021;Sudeste;SP;3500709;Agudos;Total;Pública;6,7;2,7;12,0;1,2;0,0;1,1;3,7;7,1;9,5;11,3;12,7;14,2;13,9;14,5;17,6;8,6;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;6,7;2,7;12,0;1,2;0,0;1,1;3,7;7,1;9,5;11,3;12,7;14,2;13,9;14,5;17,6;8,6;--
2021;Sudeste;SP;3500758;Alambari;Total;Total;8,6;7,3;10,3;0,0;4,7;3,7;6,4;18,6;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;9,4;8,4;10,3;0,0;6,3;4,8;7,5;19,4;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Rural;Total;4,4;4,4;--;0,0;0,0;0,0;4,0;16,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;10,3;--;10,3;--;--;--;--;--;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;10,3;--;10,3;--;--;--;--;--;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;7,3;7,3;--;0,0;4,7;3,7;6,4;18,6;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;8,4;8,4;--;0,0;6,3;4,8;7,5;19,4;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;4,4;4,4;--;0,0;0,0;0,0;4,0;16,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Pública;8,6;7,3;10,3;0,0;4,7;3,7;6,4;18,6;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;9,4;8,4;10,3;0,0;6,3;4,8;7,5;19,4;9,2;4,9;9,9;16,7;15,2;10,3;10,3;23,0;--
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;4,4;4,4;--;0,0;0,0;0,0;4,0;16,0;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Pública;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Pública;4,3;1,3;7,9;2,6;0,0;4,3;0,0;0,0;7,0;4,5;2,6;15,7;15,7;10,9;23,1;16,3;--
2021;Sudeste;SP;3500907;Altair;Total;Total;2,4;1,6;3,4;0,0;1,7;1,7;5,1;0,0;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3500907;Altair;Urbana;Total;2,4;1,6;3,4;0,0;1,7;1,7;5,1;0,0;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3500907;Altair;Total;Estadual;3,4;--;3,4;--;--;--;--;--;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3500907;Altair;Urbana;Estadual;3,4;--;3,4;--;--;--;--;--;3,7;1,9;3,9;4,2;9,6;9,8;10,0;9,1;--
2021;Sudeste;SP;3500907;Altair;Total;Municipal;1,6;1,6;--;0,0;1,7;1,7;5,1;0,0;--;--;--;--;--;--;--;--;--
