NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Total;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Total;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Estadual;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Municipal;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Municipal;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500600;Águas de São Pedro;Total;Pública;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500600;Águas de São Pedro;Urbana;Pública;22,6;0,0;61,3;16,1;0,0;87,0;0,0;13,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;71,9;0,0;28,1;0,0;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Total;91,0;0,0;2,9;0,0;6,1;85,6;0,7;12,2;0,3;1,2;87,6;1,1;9,6;0,0;1,7;81,2;0,0;17,9;0,9;0,0;73,1;0,0;26,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Total;90,2;0,0;3,3;0,0;6,5;85,6;0,7;12,2;0,3;1,2;87,6;1,1;9,6;0,0;1,7;81,2;0,0;17,9;0,9;0,0;73,1;0,0;26,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Rural;Total;96,3;0,0;0,0;0,0;3,7;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Estadual;--;--;--;--;--;80,8;0,0;19,2;0,0;0,0;--;--;--;--;--;80,8;0,0;19,2;0,0;0,0;69,1;0,0;30,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Estadual;--;--;--;--;--;80,8;0,0;19,2;0,0;0,0;--;--;--;--;--;80,8;0,0;19,2;0,0;0,0;69,1;0,0;30,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Municipal;91,1;0,0;3,1;0,0;5,8;87,1;1,2;10,2;0,0;1,5;87,1;1,2;10,2;0,0;1,5;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Urbana;Municipal;90,3;0,0;3,6;0,0;6,1;87,1;1,2;10,2;0,0;1,5;87,1;1,2;10,2;0,0;1,5;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Rural;Municipal;96,3;0,0;0,0;0,0;3,7;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500709;Agudos;Total;Privada;88,9;0,0;0,0;0,0;11,1;86,9;0,0;9,7;1,7;1,7;92,1;0,0;4,3;0,0;3,6;82,3;0,0;14,6;3,1;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Privada;88,9;0,0;0,0;0,0;11,1;86,9;0,0;9,7;1,7;1,7;92,1;0,0;4,3;0,0;3,6;82,3;0,0;14,6;3,1;0,0;83,3;0,0;16,7;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Total;Pública;91,1;0,0;3,1;0,0;5,8;85,4;0,9;12,6;0,0;1,1;87,1;1,2;10,2;0,0;1,5;80,8;0,0;19,2;0,0;0,0;69,1;0,0;30,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Urbana;Pública;90,3;0,0;3,6;0,0;6,1;85,4;0,9;12,6;0,0;1,1;87,1;1,2;10,2;0,0;1,5;80,8;0,0;19,2;0,0;0,0;69,1;0,0;30,9;0,0;0,0
2021;Sudeste;SP;3500709;Agudos;Rural;Pública;96,3;0,0;0,0;0,0;3,7;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Total;78,9;0,0;0,0;0,0;21,1;72,6;9,6;15,6;0,0;2,2;85,7;14,3;0,0;0,0;0,0;53,2;2,8;38,5;0,0;5,5;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Total;76,9;0,0;0,0;0,0;23,1;73,4;8,4;18,2;0,0;0,0;85,7;14,3;0,0;0,0;0,0;57,9;1,1;41,0;0,0;0,0;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Total;83,3;0,0;0,0;0,0;16,7;69,6;14,3;5,4;0,0;10,7;85,7;14,3;0,0;0,0;0,0;21,4;14,3;21,4;0,0;42,9;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Estadual;--;--;--;--;--;60,2;0,0;39,8;0,0;0,0;--;--;--;--;--;60,2;0,0;39,8;0,0;0,0;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Estadual;--;--;--;--;--;60,2;0,0;39,8;0,0;0,0;--;--;--;--;--;60,2;0,0;39,8;0,0;0,0;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Total;Municipal;78,9;0,0;0,0;0,0;21,1;78,6;14,3;3,8;0,0;3,3;85,7;14,3;0,0;0,0;0,0;23,8;14,3;33,3;0,0;28,6;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Urbana;Municipal;76,9;0,0;0,0;0,0;23,1;82,5;14,3;3,2;0,0;0,0;85,7;14,3;0,0;0,0;0,0;28,6;14,3;57,1;0,0;0,0;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Rural;Municipal;83,3;0,0;0,0;0,0;16,7;69,6;14,3;5,4;0,0;10,7;85,7;14,3;0,0;0,0;0,0;21,4;14,3;21,4;0,0;42,9;--;--;--;--;--
2021;Sudeste;SP;3500758;Alambari;Total;Pública;78,9;0,0;0,0;0,0;21,1;72,6;9,6;15,6;0,0;2,2;85,7;14,3;0,0;0,0;0,0;53,2;2,8;38,5;0,0;5,5;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Urbana;Pública;76,9;0,0;0,0;0,0;23,1;73,4;8,4;18,2;0,0;0,0;85,7;14,3;0,0;0,0;0,0;57,9;1,1;41,0;0,0;0,0;62,6;0,0;37,4;0,0;0,0
2021;Sudeste;SP;3500758;Alambari;Rural;Pública;83,3;0,0;0,0;0,0;16,7;69,6;14,3;5,4;0,0;10,7;85,7;14,3;0,0;0,0;0,0;21,4;14,3;21,4;0,0;42,9;--;--;--;--;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Total;92,3;0,0;7,7;0,0;0,0;95,7;0,0;4,3;0,0;0,0;100,0;0,0;0,0;0,0;0,0;91,1;0,0;8,9;0,0;0,0;81,2;0,0;18,8;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Total;92,3;0,0;7,7;0,0;0,0;95,7;0,0;4,3;0,0;0,0;100,0;0,0;0,0;0,0;0,0;91,1;0,0;8,9;0,0;0,0;81,2;0,0;18,8;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Estadual;--;--;--;--;--;95,7;0,0;4,3;0,0;0,0;100,0;0,0;0,0;0,0;0,0;91,1;0,0;8,9;0,0;0,0;81,2;0,0;18,8;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Estadual;--;--;--;--;--;95,7;0,0;4,3;0,0;0,0;100,0;0,0;0,0;0,0;0,0;91,1;0,0;8,9;0,0;0,0;81,2;0,0;18,8;0,0;0,0
2021;Sudeste;SP;3500808;Alfredo Marcondes;Total;Municipal;92,3;0,0;7,7;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500808;Alfredo Marcondes;Urbana;Municipal;92,3;0,0;7,7;0,0;0,0;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
