NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Total;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Total;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Estadual;8,2;5,4;40,5;24,3;8,1;13,5;33,4;11,1;11,1;44,4;0,0;0,0;0,0;3,3;46,7;23,3;10,0;16,7;0,0;6,9;44,2;27,9;7,0;14,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Estadual;8,2;5,4;40,5;24,3;8,1;13,5;33,4;11,1;11,1;44,4;0,0;0,0;0,0;3,3;46,7;23,3;10,0;16,7;0,0;6,9;44,2;27,9;7,0;14,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Municipal;17,8;9,5;26,3;33,7;7,4;5,3;23,2;5,0;31,7;31,7;1,7;6,7;6,0;12,0;18,0;46,0;12,0;6,0;--;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Municipal;17,8;9,5;26,3;33,7;7,4;5,3;23,2;5,0;31,7;31,7;1,7;6,7;6,0;12,0;18,0;46,0;12,0;6,0;--;--;--;--;--;--
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Privada;33,3;8,3;25,0;29,2;0,0;4,2;44,5;0,0;33,3;11,1;0,0;11,1;21,1;10,5;26,3;36,8;0,0;5,3;20,0;0,0;30,0;40,0;0,0;10,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Privada;33,3;8,3;25,0;29,2;0,0;4,2;44,5;0,0;33,3;11,1;0,0;11,1;21,1;10,5;26,3;36,8;0,0;5,3;20,0;0,0;30,0;40,0;0,0;10,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Total;Pública;15,6;8,6;30,5;32,0;7,0;6,3;25,0;5,9;27,9;33,8;1,5;5,9;3,7;9,0;29,5;38,5;10,3;9,0;0,0;6,9;44,2;27,9;7,0;14,0
2021;Sudeste;SP;3500501;Águas de Lindóia;Urbana;Pública;15,6;8,6;30,5;32,0;7,0;6,3;25,0;5,9;27,9;33,8;1,5;5,9;3,7;9,0;29,5;38,5;10,3;9,0;0,0;6,9;44,2;27,9;7,0;14,0
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Total;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Total;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Estadual;0,0;13,3;16,7;50,0;10,0;10,0;--;--;--;--;--;--;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Estadual;0,0;13,3;16,7;50,0;10,0;10,0;--;--;--;--;--;--;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Municipal;31,2;0,0;21,9;40,6;6,3;0,0;31,2;0,0;21,9;40,6;6,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Urbana;Municipal;31,2;0,0;21,9;40,6;6,3;0,0;31,2;0,0;21,9;40,6;6,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--
2021;Sudeste;SP;3500550;Águas de Santa Bárbara;Total;Pública;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7
