NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Municipal;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;5,3;42,1;42,1;10,5
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;5,3;42,1;42,1;10,5
2021;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;8,3;50,0;41,7;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;8,3;50,0;41,7;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;0,0;20,0;40,0;40,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;0,0;20,0;40,0;40,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;7,1;50,0;42,9;0,0
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;7,1;50,0;42,9;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;0,0;20,0;60,0;20,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;0,0;25,0;75,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Total;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;0,0;50,0;0,0;50,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Estadual;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Privada;0,0;0,0;100,0;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;0,0;25,0;50,0;25,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Pública;0,0;0,0;0,0;100,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;0,0;33,3;66,7;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501608;Americana;Total;Total;17,3;28,0;38,0;16,7
2021;Sudeste;SP;3501608;Americana;Urbana;Total;17,3;28,0;38,0;16,7
2021;Sudeste;SP;3501608;Americana;Total;Estadual;35,7;45,2;16,7;2,4
2021;Sudeste;SP;3501608;Americana;Urbana;Estadual;35,7;45,2;16,7;2,4
2021;Sudeste;SP;3501608;Americana;Total;Municipal;0,0;9,8;66,7;23,5
2021;Sudeste;SP;3501608;Americana;Urbana;Municipal;0,0;9,8;66,7;23,5
2021;Sudeste;SP;3501608;Americana;Total;Privada;19,3;31,6;28,1;21,0
2021;Sudeste;SP;3501608;Americana;Urbana;Privada;19,3;31,6;28,1;21,0
2021;Sudeste;SP;3501608;Americana;Total;Pública;16,1;25,8;44,1;14,0
2021;Sudeste;SP;3501608;Americana;Urbana;Pública;16,1;25,8;44,1;14,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;0,0;27,8;66,7;5,5
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;0,0;27,8;66,7;5,5
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;0,0;100,0;0,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;0,0;7,7;84,6;7,7
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;0,0;7,7;84,6;7,7
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;0,0;50,0;50,0;0,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;0,0;25,0;68,8;6,2
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;0,0;25,0;68,8;6,2
