NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Municipal;11,5;14,3;--
2021;Sudeste;SP;3501202;Álvares Florence;Total;Pública;11,5;16,6;30,0
2021;Sudeste;SP;3501202;Álvares Florence;Urbana;Pública;11,5;16,6;30,0
2021;Sudeste;SP;3501301;Álvares Machado;Total;Total;15,2;24,2;31,5
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Total;15,2;24,2;31,5
2021;Sudeste;SP;3501301;Álvares Machado;Total;Estadual;--;--;34,4
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Estadual;--;--;34,4
2021;Sudeste;SP;3501301;Álvares Machado;Total;Municipal;15,1;23,5;--
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Municipal;15,1;23,5;--
2021;Sudeste;SP;3501301;Álvares Machado;Total;Privada;15,4;26,9;24,9
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Privada;15,4;26,9;24,9
2021;Sudeste;SP;3501301;Álvares Machado;Total;Pública;15,1;23,5;34,4
2021;Sudeste;SP;3501301;Álvares Machado;Urbana;Pública;15,1;23,5;34,4
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Total;17,0;18,4;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Total;17,0;18,4;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Total;--;--;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Estadual;--;24,1;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Estadual;--;24,1;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Estadual;--;--;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Municipal;14,8;15,3;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Municipal;14,8;15,3;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Privada;19,8;--;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Privada;19,8;--;--
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Total;Pública;14,8;18,4;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Urbana;Pública;14,8;18,4;33,0
2021;Sudeste;SP;3501400;Álvaro de Carvalho;Rural;Pública;--;--;--
2021;Sudeste;SP;3501509;Alvinlândia;Total;Total;14,4;22,9;30,3
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Total;14,4;22,9;30,3
2021;Sudeste;SP;3501509;Alvinlândia;Total;Estadual;--;26,9;30,3
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Estadual;--;26,9;30,3
2021;Sudeste;SP;3501509;Alvinlândia;Total;Municipal;14,4;20,4;--
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Municipal;14,4;20,4;--
2021;Sudeste;SP;3501509;Alvinlândia;Total;Pública;14,4;22,9;30,3
2021;Sudeste;SP;3501509;Alvinlândia;Urbana;Pública;14,4;22,9;30,3
2021;Sudeste;SP;3501608;Americana;Total;Total;13,7;27,9;31,4
2021;Sudeste;SP;3501608;Americana;Urbana;Total;13,7;27,9;31,4
2021;Sudeste;SP;3501608;Americana;Total;Estadual;--;28,4;30,7
2021;Sudeste;SP;3501608;Americana;Urbana;Estadual;--;28,4;30,7
2021;Sudeste;SP;3501608;Americana;Total;Municipal;19,3;29,5;--
2021;Sudeste;SP;3501608;Americana;Urbana;Municipal;19,3;29,5;--
2021;Sudeste;SP;3501608;Americana;Total;Privada;9,8;26,2;33,7
2021;Sudeste;SP;3501608;Americana;Urbana;Privada;9,8;26,2;33,7
2021;Sudeste;SP;3501608;Americana;Total;Pública;19,3;28,8;30,7
2021;Sudeste;SP;3501608;Americana;Urbana;Pública;19,3;28,8;30,7
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Total;17,1;23,4;28,6
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Total;17,1;23,4;28,6
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Estadual;--;27,3;32,2
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Estadual;--;27,3;32,2
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Municipal;17,8;24,2;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Municipal;17,8;24,2;--
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Privada;6,7;15,7;11,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Privada;6,7;15,7;11,0
2021;Sudeste;SP;3501707;Américo Brasiliense;Total;Pública;17,8;24,6;32,2
2021;Sudeste;SP;3501707;Américo Brasiliense;Urbana;Pública;17,8;24,6;32,2
2021;Sudeste;SP;3501806;Américo de Campos;Total;Total;19,5;23,2;21,3
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Total;19,5;23,2;21,3
2021;Sudeste;SP;3501806;Américo de Campos;Total;Estadual;--;18,3;20,5
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Estadual;--;18,3;20,5
2021;Sudeste;SP;3501806;Américo de Campos;Total;Municipal;19,5;24,0;21,8
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Municipal;19,5;24,0;21,8
2021;Sudeste;SP;3501806;Américo de Campos;Total;Pública;19,5;23,2;21,3
2021;Sudeste;SP;3501806;Américo de Campos;Urbana;Pública;19,5;23,2;21,3
2021;Sudeste;SP;3501905;Amparo;Total;Total;12,4;22,5;27,1
2021;Sudeste;SP;3501905;Amparo;Urbana;Total;12,4;23,2;28,2
2021;Sudeste;SP;3501905;Amparo;Rural;Total;14,8;16,8;16,4
2021;Sudeste;SP;3501905;Amparo;Total;Estadual;--;25,2;29,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Estadual;--;26,4;30,6
2021;Sudeste;SP;3501905;Amparo;Rural;Estadual;--;18,1;16,4
2021;Sudeste;SP;3501905;Amparo;Total;Municipal;13,4;20,5;--
2021;Sudeste;SP;3501905;Amparo;Urbana;Municipal;13,3;21,3;--
2021;Sudeste;SP;3501905;Amparo;Rural;Municipal;14,8;14,3;--
2021;Sudeste;SP;3501905;Amparo;Total;Privada;9,1;20,8;19,7
2021;Sudeste;SP;3501905;Amparo;Urbana;Privada;9,1;20,8;19,7
2021;Sudeste;SP;3501905;Amparo;Total;Pública;13,4;23,2;29,0
2021;Sudeste;SP;3501905;Amparo;Urbana;Pública;13,3;24,1;30,6
2021;Sudeste;SP;3501905;Amparo;Rural;Pública;14,8;16,8;16,4
2021;Sudeste;SP;3502002;Analândia;Total;Total;13,6;20,7;23,2
2021;Sudeste;SP;3502002;Analândia;Urbana;Total;13,6;20,7;23,2
2021;Sudeste;SP;3502002;Analândia;Total;Estadual;--;--;23,2
2021;Sudeste;SP;3502002;Analândia;Urbana;Estadual;--;--;23,2
2021;Sudeste;SP;3502002;Analândia;Total;Municipal;13,6;20,7;--
2021;Sudeste;SP;3502002;Analândia;Urbana;Municipal;13,6;20,7;--
2021;Sudeste;SP;3502002;Analândia;Total;Pública;13,6;20,7;23,2
2021;Sudeste;SP;3502002;Analândia;Urbana;Pública;13,6;20,7;23,2
2021;Sudeste;SP;3502101;Andradina;Total;Total;13,0;24,1;32,0
2021;Sudeste;SP;3502101;Andradina;Urbana;Total;13,0;24,3;33,4
2021;Sudeste;SP;3502101;Andradina;Rural;Total;13,0;13,0;23,9
2021;Sudeste;SP;3502101;Andradina;Total;Estadual;--;31,1;31,6
2021;Sudeste;SP;3502101;Andradina;Urbana;Estadual;--;31,5;33,3
2021;Sudeste;SP;3502101;Andradina;Rural;Estadual;--;17,0;23,9
2021;Sudeste;SP;3502101;Andradina;Total;Municipal;13,9;21,3;--
2021;Sudeste;SP;3502101;Andradina;Urbana;Municipal;13,9;21,5;--
2021;Sudeste;SP;3502101;Andradina;Rural;Municipal;13,0;10,3;--
2021;Sudeste;SP;3502101;Andradina;Total;Privada;11,0;22,5;33,8
2021;Sudeste;SP;3502101;Andradina;Urbana;Privada;11,0;22,5;33,8
