UF_CODE;CO_MUNICIPIO;TXT_MED_TX_PROMOCAO_TOTAL;TXT_MED_TX_REPETENCIA_TOTAL;TXT_MED_TX_EVASAO_TOTAL;ICG_PERC_COMPLX_ESCOLA_NIVEL_1;ICG_PERC_COMPLX_ESCOLA_NIVEL_2;ICG_PERC_COMPLX_ESCOLA_NIVEL_3;ICG_PERC_COMPLX_ESCOLA_NIVEL_4;ICG_PERC_COMPLX_ESCOLA_NIVEL_5;ICG_PERC_COMPLX_ESCOLA_NIVEL_6;ATU_MED_MEDIA_TOTAL_ALUNOS_SALA;HAD_MED_MEDIA_TOTAL_HORAS_AULA;TDI_MED_TX_DIST_IDADE_SERIE_TOTAL;TNR_MED_TX_N_RESP_TOTAL;AFD_MED_ADEQ_DOC_GRUPO1;AFD_MED_ADEQ_DOC_GRUPO2;AFD_MED_ADEQ_DOC_GRUPO3;AFD_MED_ADEQ_DOC_GRUPO4;AFD_MED_ADEQ_DOC_GRUPO5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_1;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_2;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_3;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_4;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_5;IED_MED_PERC_DOC_POR_ESFORCO_TOTAL_NIVEL_6;IRD_PERC_REG_DOC_BAIXA;IRD_PERC_REG_DOC_MEDIA_BAIXA;IRD_PERC_REG_DOC_MEDIA_ALTA;IRD_PERC_REG_DOC_ALTA;TXR_MED_TX_APROVACAO_TOTAL;TXR_MED_TX_REPROVACAO_TOTAL;TXR_MED_TX_ABANDONO_TOTAL;DSU_MED_PERC_DOC_SUPERIOR_TOTAL;ANO;PIB_2021;PERCENTUAL_FAMILIAS_PBF_2021
31;3131406;78.3;1.4;18.9;25.0;25.0;0.0;25.0;25.0;0.0;20.5;4.1;33.3;2.4;60.9;0.0;37.7;0.0;1.4;0.0;12.4;6.3;75.0;0.0;6.3;0.0;0.0;100.0;0.0;94.2;0.8;5.0;93.8;2021;183084;0.05817
31;3131505;89.3;0.7;10.0;42.9;28.6;0.0;28.5;0.0;0.0;21.5;4.5;8.9;1.3;71.7;0.0;17.3;11.0;0.0;0.0;9.1;18.2;68.2;0.0;4.5;12.5;12.5;62.5;12.5;92.3;0.0;7.7;100.0;2021;188530;0.04707
31;3131604;96.7;0.8;2.5;25.0;25.0;37.5;12.5;0.0;0.0;31.2;4.4;29.8;1.0;64.9;0.9;15.3;18.9;0.0;0.0;0.0;4.0;44.0;32.0;20.0;0.0;25.0;62.5;12.5;94.8;0.0;5.2;100.0;2021;301551;0.06679
31;3131703;88.4;1.0;6.4;36.8;13.2;26.3;17.1;3.9;2.7;31.1;5.5;17.2;1.0;60.5;4.6;19.1;15.4;0.4;1.2;11.8;29.3;39.5;11.5;6.7;18.3;33.8;43.7;4.2;95.5;1.8;2.7;99.4;2021;14971929;0.0361
31;3131802;78.5;6.1;14.8;54.5;9.1;9.1;18.2;9.1;0.0;25.9;4.4;16.7;9.1;64.7;0.0;17.6;17.7;0.0;3.3;3.2;35.5;54.8;3.2;0.0;27.3;54.5;18.2;0.0;97.9;1.8;0.3;100.0;2021;136423;0.08499
31;3131901;83.9;3.0;10.8;23.3;41.9;14.0;11.6;7.0;2.2;29.7;5.1;27.6;14.8;74.0;8.0;12.4;4.6;1.0;0.0;10.2;32.2;34.7;12.7;10.2;0.0;12.5;62.5;25.0;86.8;10.5;2.7;97.6;2021;13139828;0.02585
31;3132008;96.3;0.5;3.2;14.3;57.1;28.6;0.0;0.0;0.0;17.9;4.4;18.6;0.6;85.0;0.0;13.1;1.9;0.0;0.0;6.1;24.2;60.6;9.1;0.0;0.0;28.6;57.1;14.3;99.4;0.0;0.6;100.0;2021;61721;0.13328
31;3132107;83.4;5.3;8.7;59.1;9.1;13.6;4.5;4.5;9.2;31.9;4.2;32.7;1.8;70.8;2.2;8.2;18.8;0.0;0.0;1.5;11.1;41.3;30.2;15.9;18.2;36.4;22.7;22.7;87.9;7.3;4.8;100.0;2021;226363;0.11219
31;3132206;93.4;0.8;4.7;60.0;0.0;30.0;0.0;10.0;0.0;34.5;4.4;15.0;0.5;80.6;2.4;4.0;13.0;0.0;0.0;0.0;16.7;50.0;22.2;11.1;22.2;44.4;33.4;0.0;93.1;0.8;6.1;100.0;2021;402464;0.04182
31;3132305;76.4;5.8;12.8;60.0;20.0;6.7;0.0;13.3;0.0;27.3;4.9;44.4;1.4;44.4;7.2;32.9;12.1;3.4;0.0;12.8;20.5;28.2;28.2;10.3;20.0;60.0;20.0;0.0;90.0;0.2;9.8;94.9;2021;121602;0.14322
31;3132404;92.6;1.1;5.2;28.8;19.2;28.8;19.2;1.4;2.6;29.3;5.1;18.4;1.4;67.4;1.9;19.0;11.1;0.6;1.8;13.1;26.6;48.8;7.2;2.5;1.5;24.2;57.6;16.7;93.0;3.7;3.3;98.9;2021;3288441;0.03575
31;3132503;92.7;2.2;4.0;42.5;10.0;25.0;10.0;5.0;7.5;26.7;4.8;19.2;2.6;70.9;2.3;11.1;15.7;0.0;0.8;5.4;19.7;54.4;19.0;0.7;22.5;37.5;32.5;7.5;94.8;2.1;3.1;100.0;2021;647509;0.08358
31;3132602;83.3;6.9;8.3;0.0;33.3;66.7;0.0;0.0;0.0;19.0;4.4;26.3;0.0;88.9;0.0;11.1;0.0;0.0;15.3;0.0;0.0;46.2;38.5;0.0;0.0;33.3;66.7;0.0;94.7;0.0;5.3;100.0;2021;67336;0.0496
31;3132701;78.4;1.9;16.2;37.5;16.7;33.3;4.2;4.2;4.1;32.3;4.4;29.4;1.5;56.3;0.0;30.3;12.6;0.8;0.0;19.6;17.4;37.0;21.7;4.3;8.3;50.0;37.5;4.2;86.0;6.8;7.2;97.8;2021;341052;0.13074
31;3132800;97.6;0.0;2.4;83.3;0.0;0.0;16.7;0.0;0.0;29.7;4.4;14.6;4.5;73.5;0.0;14.7;11.8;0.0;0.0;14.3;71.4;14.3;0.0;0.0;0.0;16.7;83.3;0.0;96.5;0.0;3.5;100.0;2021;35922;0.07776
31;3132909;94.8;0.0;5.2;33.3;22.2;11.1;22.2;11.2;0.0;21.5;4.8;17.0;1.2;76.3;0.0;13.3;10.4;0.0;0.0;3.1;42.4;18.2;24.2;12.1;10.0;30.0;50.0;10.0;99.4;0.6;0.0;100.0;2021;236365;0.04179
31;3133006;84.4;0.4;15.0;25.0;33.3;0.0;33.3;8.4;0.0;21.1;4.6;14.4;1.1;77.9;4.4;13.9;3.1;0.7;4.4;0.0;27.5;52.2;11.6;4.3;8.3;33.3;50.0;8.4;89.1;5.2;5.7;98.8;2021;1182177;0.03452
31;3133105;88.6;4.2;5.5;28.6;21.4;21.4;21.4;7.2;0.0;24.9;4.7;13.2;0.4;72.3;8.5;12.7;3.5;3.0;1.5;9.0;31.3;37.3;14.9;6.0;0.0;28.6;42.9;28.5;96.0;1.5;2.5;95.8;2021;470229;0.02572
31;3133204;81.4;3.1;14.7;30.0;40.0;10.0;10.0;10.0;0.0;20.2;4.7;32.9;6.0;59.4;0.0;22.2;16.9;1.5;5.5;9.3;14.8;44.4;24.1;1.9;11.1;55.6;33.3;0.0;84.1;2.9;13.0;96.6;2021;151296;0.06689
31;3133303;87.8;2.7;3.7;31.6;42.1;10.5;0.0;15.8;0.0;29.6;7.1;26.8;0.9;61.5;0.0;12.8;25.7;0.0;2.8;21.6;13.5;35.1;21.6;5.4;26.3;31.6;42.1;0.0;88.8;0.8;10.4;100.0;2021;308690;0.10235
31;3133402;74.7;6.6;15.5;40.0;40.0;10.0;0.0;10.0;0.0;24.1;4.3;15.7;1.6;82.4;0.0;8.8;8.8;0.0;0.0;6.2;25.0;31.3;37.5;0.0;10.0;30.0;60.0;0.0;73.5;8.1;18.4;100.0;2021;514269;0.04197
31;3133501;98.2;0.2;1.0;13.3;33.3;13.3;13.3;26.8;0.0;21.7;4.4;8.8;2.4;71.7;1.4;16.1;9.9;0.9;1.3;3.6;8.3;58.3;21.4;7.1;13.3;46.7;26.7;13.3;99.3;0.7;0.0;99.0;2021;629195;0.04145
