Unnamed: 4;NU_ANO_CENSO;CO_MUNICIPIO;NO_CATEGORIA;NO_DEPENDENCIA;ED_INF_CAT_1;ED_INF_CAT_2;ED_INF_CAT_3;ED_INF_CAT_4;ED_INF_CAT_5;ED_INF_CAT_0;FUN_CAT_0;MED_CAT_0;EDU_BAS_CAT_5;EDU_BAS_CAT_6;FUN_CAT_1;FUN_CAT_2;FUN_CAT_3;FUN_CAT_4;FUN_CAT_5;FUN_CAT_6;FUN_AI_CAT_1;FUN_AI_CAT_2;FUN_AI_CAT_3;FUN_AI_CAT_4;FUN_AI_CAT_5;FUN_AI_CAT_6;FUN_AF_CAT_1;FUN_AF_CAT_2;FUN_AF_CAT_3;FUN_AF_CAT_4;FUN_AF_CAT_5;FUN_AF_CAT_6;MED_CAT_1;MED_CAT_2;MED_CAT_3;MED_CAT_4;MED_CAT_5;MED_CAT_6;EDU_BAS_CAT_1;EDU_BAS_CAT_2;EDU_BAS_CAT_3;EDU_BAS_CAT_4;NO_REGIAO;SG_UF;NO_MUNICIPIO;ED_BAS_CAT1;ED_BAS_CAT2;ED_BAS_CAT3;ED_BAS_CAT4;ED_BAS_CAT5;ED_BAS_CAT6;ED_BAS_CAT7;ED_BAS_CAT8;ED_BAS_CAT9
;2021;3500402;Urbana;Total;59,1;0,0;36,4;0,0;4,5;18,4;22,1;28,8;0,0;0,0;18,6;16,3;11,6;44,2;7,0;2,3;42,9;14,3;7,1;21,4;14,3;0,0;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0;20,0;40,0;40,0;0,0;;;;;;;;;;;;
;2021;3500402;Rural;Total;44,4;0,0;55,6;0,0;0,0;14,6;17,9;--;0,0;0,0;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500402;Total;Estadual;--;--;--;--;--;--;23,0;28,8;0,0;0,0;7,0;17,2;13,8;55,2;3,4;3,4;--;--;--;--;--;--;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500402;Urbana;Estadual;--;--;--;--;--;--;23,0;28,8;0,0;0,0;7,0;17,2;13,8;55,2;3,4;3,4;--;--;--;--;--;--;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500402;Total;Municipal;54,8;0,0;41,9;0,0;3,3;17,2;19,9;--;0,0;0,0;52,3;13,0;4,3;17,4;8,7;4,3;44,4;11,1;5,6;22,2;11,1;5,6;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--;16,7;0,0;83,3;0,0;Sudeste;SP;Águas da Prata;48.0;91,7;3.068,36;3.670,84;3.529,06;3.769,53;571,03;30,2;4.677,01
;2021;3500402;Urbana;Municipal;59,1;0,0;36,4;0,0;4,5;18,4;21,2;--;0,0;0,0;42,9;14,3;7,1;21,4;14,3;0,0;42,9;14,3;7,1;21,4;14,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--;33,3;0,0;66,7;0,0;;;;;;;;;;;;
;2021;3500402;Rural;Municipal;44,4;0,0;55,6;0,0;0,0;14,6;17,9;--;0,0;0,0;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500402;Total;Pública;54,8;0,0;41,9;0,0;3,3;17,2;21,0;28,8;0,0;0,0;26,9;15,4;9,6;38,5;5,8;3,8;44,4;11,1;5,6;22,2;11,1;5,6;16,3;16,2;10,8;43,2;8,1;5,4;0,0;23,1;0,0;76,9;0,0;0,0;12,5;25,0;62,5;0,0;;;;;;;;;;;;
;2021;3500402;Urbana;Pública;59,1;0,0;36,4;0,0;4,5;18,4;22,1;28,8;0,0;0,0;18,6;16,3;11,6;44,2;7,0;2,3;42,9;14,3;7,1;21,4;14,3;0,0;7,0;17,2;13,8;55,2;3,4;3,4;0,0;23,1;0,0;76,9;0,0;0,0;20,0;40,0;40,0;0,0;;;;;;;;;;;;
;2021;3500402;Rural;Pública;44,4;0,0;55,6;0,0;0,0;14,6;17,9;--;0,0;0,0;54,5;9,1;0,0;9,1;18,2;9,1;40,0;0,0;0,0;20,0;20,0;20,0;50,0;12,5;0,0;0,0;25,0;12,5;--;--;--;--;--;--;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500501;Total;Total;91,9;0,0;5,9;0,7;1,5;13,0;20,4;23,2;5,3;5,1;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2;5,6;38,9;38,9;16,6;;;;;;;;;;;;
;2021;3500501;Urbana;Total;91,9;0,0;5,9;0,7;1,5;13,0;20,4;23,2;5,3;5,1;18,5;8,6;29,8;31,1;6,0;6,0;27,2;5,2;28,6;31,2;1,3;6,5;7,3;9,3;28,9;38,1;8,2;8,2;3,7;5,7;41,5;30,2;5,7;13,2;5,6;38,9;38,9;16,6;;;;;;;;;;;;
;2021;3500501;Total;Estadual;--;--;--;--;--;--;20,1;25,6;0,0;50,0;8,2;5,4;40,5;24,3;8,1;13,5;33,4;11,1;11,1;44,4;0,0;0,0;0,0;3,3;46,7;23,3;10,0;16,7;0,0;6,9;44,2;27,9;7,0;14,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500501;Urbana;Estadual;--;--;--;--;--;--;20,1;25,6;0,0;50,0;8,2;5,4;40,5;24,3;8,1;13,5;33,4;11,1;11,1;44,4;0,0;0,0;0,0;3,3;46,7;23,3;10,0;16,7;0,0;6,9;44,2;27,9;7,0;14,0;0,0;100,0;0,0;0,0;;;;;;;;;;;;
;2021;3500501;Total;Municipal;94,7;0,0;3,5;0,9;0,9;13,8;21,7;--;7,2;0,0;17,8;9,5;26,3;33,7;7,4;5,3;23,2;5,0;31,7;31,7;1,7;6,7;6,0;12,0;18,0;46,0;12,0;6,0;--;--;--;--;--;--;7,7;38,5;46,2;7,6;Sudeste;SP;Águas de Lindóia;186.0;100,0;2.384,94;2.577,34;2.972,18;3.350,09;870,43;28,8;4.123,57
;2021;3500501;Urbana;Municipal;94,7;0,0;3,5;0,9;0,9;13,8;21,7;--;7,2;0,0;17,8;9,5;26,3;33,7;7,4;5,3;23,2;5,0;31,7;31,7;1,7;6,7;6,0;12,0;18,0;46,0;12,0;6,0;--;--;--;--;--;--;7,7;38,5;46,2;7,6;;;;;;;;;;;;
;2021;3500501;Total;Privada;78,3;0,0;17,4;0,0;4,3;8,6;11,0;8,3;0,0;0,0;33,3;8,3;25,0;29,2;0,0;4,2;44,5;0,0;33,3;11,1;0,0;11,1;21,1;10,5;26,3;36,8;0,0;5,3;20,0;0,0;30,0;40,0;0,0;10,0;0,0;0,0;33,3;66,7;;;;;;;;;;;;
;2021;3500501;Urbana;Privada;78,3;0,0;17,4;0,0;4,3;8,6;11,0;8,3;0,0;0,0;33,3;8,3;25,0;29,2;0,0;4,2;44,5;0,0;33,3;11,1;0,0;11,1;21,1;10,5;26,3;36,8;0,0;5,3;20,0;0,0;30,0;40,0;0,0;10,0;0,0;0,0;33,3;66,7;;;;;;;;;;;;
;2021;3500501;Total;Pública;94,7;0,0;3,5;0,9;0,9;13,8;21,4;25,6;6,3;6,1;15,6;8,6;30,5;32,0;7,0;6,3;25,0;5,9;27,9;33,8;1,5;5,9;3,7;9,0;29,5;38,5;10,3;9,0;0,0;6,9;44,2;27,9;7,0;14,0;6,7;46,7;40,0;6,6;;;;;;;;;;;;
;2021;3500501;Urbana;Pública;94,7;0,0;3,5;0,9;0,9;13,8;21,4;25,6;6,3;6,1;15,6;8,6;30,5;32,0;7,0;6,3;25,0;5,9;27,9;33,8;1,5;5,9;3,7;9,0;29,5;38,5;10,3;9,0;0,0;6,9;44,2;27,9;7,0;14,0;6,7;46,7;40,0;6,6;;;;;;;;;;;;
;2021;3500550;Total;Total;44,6;0,0;55,4;0,0;0,0;12,3;22,2;26,3;25,0;0,0;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;75,0;25,0;;;;;;;;;;;;
;2021;3500550;Urbana;Total;44,6;0,0;55,4;0,0;0,0;12,3;22,2;26,3;25,0;0,0;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;75,0;25,0;;;;;;;;;;;;
;2021;3500550;Total;Estadual;--;--;--;--;--;--;27,3;26,3;0,0;0,0;0,0;13,3;16,7;50,0;10,0;10,0;--;--;--;--;--;--;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500550;Urbana;Estadual;--;--;--;--;--;--;27,3;26,3;0,0;0,0;0,0;13,3;16,7;50,0;10,0;10,0;--;--;--;--;--;--;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;100,0;0,0;;;;;;;;;;;;
;2021;3500550;Total;Municipal;44,6;0,0;55,4;0,0;0,0;12,3;19,4;--;33,4;0,0;31,2;0,0;21,9;40,6;6,3;0,0;31,2;0,0;21,9;40,6;6,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;66,7;33,3;Sudeste;SP;Águas de Santa Bárbara;55.0;100,0;3.463,86;4.062,98;3.987,72;4.708,79;1.001,55;31,7;5.033,57
;2021;3500550;Urbana;Municipal;44,6;0,0;55,4;0,0;0,0;12,3;19,4;--;33,4;0,0;31,2;0,0;21,9;40,6;6,3;0,0;31,2;0,0;21,9;40,6;6,3;0,0;--;--;--;--;--;--;--;--;--;--;--;--;0,0;0,0;66,7;33,3;;;;;;;;;;;;
;2021;3500550;Total;Pública;44,6;0,0;55,4;0,0;0,0;12,3;22,2;26,3;25,0;0,0;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;75,0;25,0;;;;;;;;;;;;
;2021;3500550;Urbana;Pública;44,6;0,0;55,4;0,0;0,0;12,3;22,2;26,3;25,0;0,0;16,0;6,5;19,4;45,2;8,1;4,8;31,2;0,0;21,9;40,6;6,3;0,0;0,0;13,3;16,7;50,0;10,0;10,0;0,0;0,0;15,4;61,5;15,4;7,7;0,0;0,0;75,0;25,0;;;;;;;;;;;;
