NU_ANO_CENSO;NO_REGIAO;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_LOCALIZACAO;NO_DEPENDENCIA;FUN_TX_PROMOCAO_TOTAL;MED_TX_PROMOCAO_TOTAL;FUN_TX_REPETENCIA_TOTAL;MED_TX_REPETENCIA_TOTAL;FUN_TX_EVASAO_TOTAL;MED_TX_EVASAO_TOTAL
2013;Sul;PR;4108320;Francisco Alves;Total;Pública;91;82.9;6;7.5;1.8;8.7
2013;Sul;PR;4108320;Francisco Alves;Urbana;Total;90;82.9;6.5;7.5;2;8.7
2013;Sul;PR;4108320;Francisco Alves;Rural;Total;98.2;--;1.8;--;0;--
2013;Sul;PR;4108403;Francisco Beltrão;Total;Total;90.9;79.1;6.4;11.2;2;8.4
2013;Sul;PR;4108403;Francisco Beltrão;Total;Pública;90.2;77.1;6.9;12.1;2.2;9.3
2013;Sul;PR;4108403;Francisco Beltrão;Total;Privada;98;94.6;1.6;4;0.4;1.4
2013;Sul;PR;4108403;Francisco Beltrão;Urbana;Total;90.6;79.1;6.7;11.3;2.1;8.3
2013;Sul;PR;4108403;Francisco Beltrão;Rural;Total;94.1;85;4.3;1.7;1.6;13.3
2013;Sul;PR;4108452;Foz do Jordão;Total;Total;81.1;83;14.3;4.9;3.6;10.4
2013;Sul;PR;4108452;Foz do Jordão;Total;Pública;81.1;83;14.3;4.9;3.6;10.4
2013;Sul;PR;4108452;Foz do Jordão;Urbana;Total;81.1;83;14.3;4.9;3.6;10.4
2013;Sul;PR;4108502;General Carneiro;Total;Total;90.8;80.4;5.7;9.4;2.4;9.5
2013;Sul;PR;4108502;General Carneiro;Total;Pública;90.8;80.4;5.7;9.4;2.4;9.5
2013;Sul;PR;4108502;General Carneiro;Urbana;Total;90.7;79.5;5.8;9.8;2.3;9.8
2013;Sul;PR;4108502;General Carneiro;Rural;Total;91.6;86.6;5.3;6;2.9;7.4
2013;Sul;PR;4108551;Godoy Moreira;Total;Total;94.1;88.4;2.5;4.5;3;7.1
2013;Sul;PR;4108551;Godoy Moreira;Total;Pública;94.1;88.4;2.5;4.5;3;7.1
2013;Sul;PR;4108551;Godoy Moreira;Urbana;Total;94.1;88.4;2.5;4.5;3;7.1
2013;Sul;PR;4108601;Goioerê;Total;Total;88.3;70.6;8.1;14.8;2.4;11.8
2013;Sul;PR;4108601;Goioerê;Total;Pública;87.2;67.9;8.8;16.1;2.6;12.9
2013;Sul;PR;4108601;Goioerê;Total;Privada;96.6;97.4;2.5;1.7;0.9;0.9
2013;Sul;PR;4108601;Goioerê;Urbana;Total;88.3;70.6;8.1;14.8;2.4;11.8
2013;Sul;PR;4108650;Goioxim;Total;Total;89.5;78.2;6.7;8;3.5;13.5
2013;Sul;PR;4108650;Goioxim;Total;Pública;89.5;78.2;6.7;8;3.5;13.5
2013;Sul;PR;4108650;Goioxim;Urbana;Total;88.5;76;7;9.4;4;14.2
2013;Sul;PR;4108650;Goioxim;Rural;Total;91.5;87.9;6.1;1.7;2.4;10.4
2013;Sul;PR;4108700;Grandes Rios;Total;Total;86;80.2;9.6;5.8;3;13.7
2013;Sul;PR;4108700;Grandes Rios;Total;Pública;86;80.2;9.6;5.8;3;13.7
2013;Sul;PR;4108700;Grandes Rios;Urbana;Total;86;78.8;9.8;5.8;2.8;15
2013;Sul;PR;4108700;Grandes Rios;Rural;Total;85.8;87;8.3;5.6;4.2;7.4
2013;Sul;PR;4108809;Guaíra;Total;Total;85;75.9;10.3;11.7;4;10.3
2013;Sul;PR;4108809;Guaíra;Total;Pública;83.1;74.7;11.6;12.3;4.5;10.8
2013;Sul;PR;4108809;Guaíra;Total;Privada;98.6;96.9;0.9;1.6;0.5;1.5
2013;Sul;PR;4108809;Guaíra;Urbana;Total;84.8;75.9;10.4;11.7;4.1;10.3
2013;Sul;PR;4108809;Guaíra;Rural;Total;89.4;--;9.1;--;1.5;--
2013;Sul;PR;4108908;Guairaçá;Total;Total;85.1;78.3;12.8;15.6;0.9;5.7
2013;Sul;PR;4108908;Guairaçá;Total;Pública;85.1;78.3;12.8;15.6;0.9;5.7
2013;Sul;PR;4108908;Guairaçá;Urbana;Total;85.1;78.3;12.8;15.6;0.9;5.7
2013;Sul;PR;4108957;Guamiranga;Total;Total;94.1;84.5;4.6;8.4;1;6.5
2013;Sul;PR;4108957;Guamiranga;Total;Pública;94.1;84.5;4.6;8.4;1;6.5
2013;Sul;PR;4108957;Guamiranga;Urbana;Total;94;84.7;4.6;8.7;1;6
2013;Sul;PR;4108957;Guamiranga;Rural;Total;94.5;84;4.6;7.6;0.9;7.6
2013;Sul;PR;4109005;Guapirama;Total;Total;91.4;83.9;6.4;5.2;1.7;9.5
2013;Sul;PR;4109005;Guapirama;Total;Pública;91.4;83.9;6.4;5.2;1.7;9.5
2013;Sul;PR;4109005;Guapirama;Urbana;Total;91.4;83.9;6.4;5.2;1.7;9.5
2013;Sul;PR;4109104;Guaporema;Total;Total;93.8;78.2;5.2;12.9;1;8.9
2013;Sul;PR;4109104;Guaporema;Total;Pública;93.8;78.2;5.2;12.9;1;8.9
2013;Sul;PR;4109104;Guaporema;Urbana;Total;93.8;78.2;5.2;12.9;1;8.9
2013;Sul;PR;4109203;Guaraci;Total;Total;80.2;71;14.5;13.3;5.3;15.7
2013;Sul;PR;4109203;Guaraci;Total;Pública;80.2;71;14.5;13.3;5.3;15.7
2013;Sul;PR;4109203;Guaraci;Urbana;Total;80.2;71;14.5;13.3;5.3;15.7
2013;Sul;PR;4109302;Guaraniaçu;Total;Total;87.1;82.2;9.9;9.4;2.1;7.6
2013;Sul;PR;4109302;Guaraniaçu;Total;Pública;87.1;82.2;9.9;9.4;2.1;7.6
2013;Sul;PR;4109302;Guaraniaçu;Total;Privada;100;--;0;--;0;--
2013;Sul;PR;4109302;Guaraniaçu;Urbana;Total;87.6;82.2;9.7;9.4;1.8;7.6
2013;Sul;PR;4109302;Guaraniaçu;Rural;Total;85.5;--;10.6;--;3.5;--
2013;Sul;PR;4109401;Guarapuava;Total;Total;85.6;75.9;10.7;12.9;2.9;10.2
2013;Sul;PR;4109401;Guarapuava;Total;Pública;84.4;72.5;11.7;14.7;3.1;11.8
2013;Sul;PR;4109401;Guarapuava;Total;Privada;97.2;94.3;2.4;3.5;0.3;1.8
2013;Sul;PR;4109401;Guarapuava;Urbana;Total;86.1;76.2;10.6;13;2.6;9.8
2013;Sul;PR;4109401;Guarapuava;Rural;Total;77.5;70.8;14;10.9;7.8;17.5
2013;Sul;PR;4109500;Guaraqueçaba;Total;Total;79.6;79.7;15.4;7.8;4.6;12
2013;Sul;PR;4109500;Guaraqueçaba;Total;Pública;79.1;79.7;15.7;7.8;4.8;12
2013;Sul;PR;4109500;Guaraqueçaba;Total;Privada;88.2;--;10.6;--;1.2;--
2013;Sul;PR;4109500;Guaraqueçaba;Urbana;Total;76.3;78.9;17.4;8.1;5.7;11.9
2013;Sul;PR;4109500;Guaraqueçaba;Rural;Total;82.2;80.3;13.9;7.6;3.8;12.1
2013;Sul;PR;4109609;Guaratuba;Total;Total;80.7;73.2;13.6;12.1;5.2;14.4
2013;Sul;PR;4109609;Guaratuba;Total;Pública;79.5;71.6;14.5;12.8;5.6;15.3
2013;Sul;PR;4109609;Guaratuba;Total;Privada;97.1;96.7;2.2;2.2;0.7;1.1
2013;Sul;PR;4109609;Guaratuba;Urbana;Total;80.2;73.5;13.9;12;5.4;14.2
2013;Sul;PR;4109609;Guaratuba;Rural;Total;88.1;68.9;9.3;14.4;2.6;16.7
2013;Sul;PR;4109658;Honório Serpa;Total;Total;94.6;83.5;3.1;3.6;2;12.6
2013;Sul;PR;4109658;Honório Serpa;Total;Pública;94.6;83.5;3.1;3.6;2;12.6
2013;Sul;PR;4109658;Honório Serpa;Urbana;Total;94.7;83.5;2.8;3.6;2.2;12.6
2013;Sul;PR;4109658;Honório Serpa;Rural;Total;93.9;--;6.1;--;0;--
2013;Sul;PR;4109708;Ibaiti;Total;Total;88.4;79.4;7.7;10;2.9;10.1
2013;Sul;PR;4109708;Ibaiti;Total;Pública;87.7;78.1;8.2;10.6;3.1;10.7
2013;Sul;PR;4109708;Ibaiti;Total;Privada;98.7;100;1.3;0;0;0
2013;Sul;PR;4109708;Ibaiti;Urbana;Total;88.4;79.4;7.7;10;2.9;10.1
2013;Sul;PR;4109708;Ibaiti;Rural;Total;89.5;--;7.6;--;2.3;--
2013;Sul;PR;4109757;Ibema;Total;Total;91.4;86.7;6;2.7;2.3;10.6
2013;Sul;PR;4109757;Ibema;Total;Pública;90.1;84.7;6.9;3.1;2.6;12.2
2013;Sul;PR;4109757;Ibema;Total;Privada;99.3;100;0.7;0;0;0
2013;Sul;PR;4109757;Ibema;Urbana;Total;91.4;86.7;6;2.7;2.3;10.6
2013;Sul;PR;4109807;Ibiporã;Total;Total;84.9;72.2;11.4;17.3;3.1;10
2013;Sul;PR;4109807;Ibiporã;Total;Pública;83;66.6;12.8;20.8;3.6;12.1
2013;Sul;PR;4109807;Ibiporã;Total;Privada;97.5;96.1;2.4;2.7;0.1;1.2
2013;Sul;PR;4109807;Ibiporã;Urbana;Total;84.9;72.2;11.4;17.3;3.1;10
2013;Sul;PR;4109906;Icaraíma;Total;Total;88.3;79;8;11.1;2.2;9.4
2013;Sul;PR;4109906;Icaraíma;Total;Pública;87.8;79;8.3;11.1;2.3;9.4
2013;Sul;PR;4109906;Icaraíma;Total;Privada;100;--;0;--;0;--
2013;Sul;PR;4109906;Icaraíma;Urbana;Total;88.3;79;8;11.1;2.2;9.4
2013;Sul;PR;4110003;Iguaraçu;Total;Total;86;82.7;10.6;10.8;1.8;5.4
2013;Sul;PR;4110003;Iguaraçu;Total;Pública;86;82.7;10.6;10.8;1.8;5.4
2013;Sul;PR;4110003;Iguaraçu;Urbana;Total;86;82.7;10.6;10.8;1.8;5.4
2013;Sul;PR;4110052;Iguatu;Total;Total;96.8;88.1;1.6;5.5;1.6;6.4
2013;Sul;PR;4110052;Iguatu;Total;Pública;96.8;88.1;1.6;5.5;1.6;6.4
2013;Sul;PR;4110052;Iguatu;Urbana;Total;96.8;88.1;1.6;5.5;1.6;6.4
2013;Sul;PR;4110078;Imbaú;Total;Total;81.4;59.2;12.9;23.7;5.6;17.1
2013;Sul;PR;4110078;Imbaú;Total;Pública;80.8;59.2;13.3;23.7;5.7;17.1
2013;Sul;PR;4110078;Imbaú;Total;Privada;100;--;0;--;0;--
2013;Sul;PR;4110078;Imbaú;Urbana;Total;80.5;56.6;13.8;25.9;5.5;17.5
2013;Sul;PR;4110078;Imbaú;Rural;Total;85.9;72.4;8;12.6;6.1;15
2013;Sul;PR;4110102;Imbituva;Total;Total;87.2;76.2;9.5;12.7;2.6;10.5
2013;Sul;PR;4110102;Imbituva;Total;Pública;86.5;74.1;10.1;13.7;2.7;11.7
2013;Sul;PR;4110102;Imbituva;Total;Privada;97.9;94.1;1.2;4.2;0.9;0
2013;Sul;PR;4110102;Imbituva;Urbana;Total;85.9;75.1;10.7;13.7;2.6;10.5
2013;Sul;PR;4110102;Imbituva;Rural;Total;91.1;82.7;6.1;6.9;2.6;10.4
2013;Sul;PR;4110201;Inácio Martins;Total;Total;83.3;72.9;10.3;14.7;4.7;11.3
2013;Sul;PR;4110201;Inácio Martins;Total;Pública;83.3;72.9;10.3;14.7;4.7;11.3
2013;Sul;PR;4110201;Inácio Martins;Urbana;Total;83;72.9;9.7;14.7;5.2;11.3
2013;Sul;PR;4110201;Inácio Martins;Rural;Total;84.5;--;12.1;--;3.1;--
2013;Sul;PR;4110300;Inajá;Total;Total;93.5;82.7;3.5;5.6;1.3;8.6
2013;Sul;PR;4110300;Inajá;Total;Pública;93.5;82.7;3.5;5.6;1.3;8.6
2013;Sul;PR;4110300;Inajá;Urbana;Total;93.5;82.7;3.5;5.6;1.3;8.6
2013;Sul;PR;4110409;Indianópolis;Total;Total;87.6;75.7;8.1;9.9;3.9;14.4
2013;Sul;PR;4110409;Indianópolis;Total;Pública;87.6;75.7;8.1;9.9;3.9;14.4
2013;Sul;PR;4110409;Indianópolis;Urbana;Total;87.6;75.7;8.1;9.9;3.9;14.4
2013;Sul;PR;4110508;Ipiranga;Total;Total;81.4;81.8;14.5;8.6;2.7;8.6
